α_1_re,α_2_re,α_3_re,α_4_re,α_5_re,α_6_re,α_7_re,α_8_re,α_9_re,s,N
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9232016833936408,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8050489209225948,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25349156756661473,0.0
0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40891228523089174,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9227202979423459,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05651265760641466,0.0
0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.9866472640662228,0.0
0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0035695396282188208,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.7580676266772721,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6504320678801463,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6725498945401638,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3530054173299907,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9147773263533965,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9784353527098658,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21235084609328614,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.12182765494390424,0.0
0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.25472948216426883,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7313964028353136,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09416360812775282,0.0
0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48640845878204353,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.01552370772655387,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.37726677447696744,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3220145671963053,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5129579227220968,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916498261921224,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03243543545874561,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.10289049823629037,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7773212188223295,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2803792374037385,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6487203135472475,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3280917392274264,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6715907378640618,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02832985305584479,0.0
0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.8319960154572764,0.0
0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.012270827983104193,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39660915094472793,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7939882362817741,0.0
0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.46934530315216993,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38810406372250317,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.02052844164795753,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.042230086431671476,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4253095454347894,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8717145432372903,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.47056321380199884,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9576723823717234,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6657904491653384,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3092349624794306,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9953511820190161,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4764269745504587,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.43016979782865405,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5141744499274088,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3145057241222272,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07240382985942795,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03207860989928424,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.17832530124597912,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5431111663841359,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8292087127276424,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8797418857211668,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7129387036912005,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8965160111911115,0.0
0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20179279633785907,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.696828523201411,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8192066411435281,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38797581102192447,0.0
0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.4928671947940908,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37654117281934707,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12513977913873153,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9635799104755731,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6945679191602455,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7060352495202543,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18517338379031367,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2381058237164242,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7719104214505225,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.556093590775376,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7864866624634286,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8301561251688533,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2432746650855966,0.0
0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.0,0.0,0.3777068839694332,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40112868713585803,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532457229960077,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4520279338722878,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7951490250287107,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07800203232234637,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13938635675991784,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672392810517249,0.0
